rank-title,price,discount,selling_proposition,category,color-count,goods-title
1,2.03,-22,0,appliances,0,"1pc Rechargeable Deep Tissue Muscle Handheld Massage Gun, Suitable For Body, Back And Neck Pain, Ultra-Compact Elegant Design, High-Torque Driven Massager"
4,6.48,-20,0,appliances,0,1pc Portable Hanging Neck Fan
0,1.8,0,400,appliances,0,"1pc Pink Colored Curved Eyelash Curler False Eyelash Auxiliary Makeup Tool For Women, Portable"
0,0.88,-72,5600,appliances,0,"1 Mini Portable Handheld Fan With 2 Aa Batteries (Batteries Not Included), Comes With A Lanyard"
6,12.06,-40,0,appliances,0,"Wit Water Flosser,Portable Oral Irrigator With 3 Modes, Nasal Washer, 4 Replaceable Nozzles, Rechargeable Waterproof Tooth Cleaner, For Home And Travel, Removable Large Water Tank"
10,2.7,0,0,appliances,0,"1pc Ice Pop Mold, Plastic Ice Cream Mold, Frozen Ice Pop Box, Safe Jelly Mould, Kitchen Utensils, Kitchen Accessories"
8,3.5,0,0,appliances,0,"Mini Pocket Bluetooth Thermal Printer, Portable Wireless Inkless Printing Machine For Pictures, Notes, Photos, Journals, DIY, Compatible With IOS And Android Phones"
0,4.9,0,0,appliances,0,"1 PC 400ML Classic Ultra-Silent Air Humidifier With Dazzling Coloured Lights,Desktop/Car Humidification"
6,4.28,-41,0,appliances,0,"6 Modes Multi-Functional Sonic Electric Toothbrush, 8/4 Heads Kit, Equipped With 2 Minutes Smart Timer And 30S Area Switch Reminder, Waterproof Usb Rechargeable Oral Cleaner Set For Family Or Travel Use"
9,2.76,-5,0,appliances,0,"1pc AA Battery Operated Portable Handheld Mini Fan With Strap, Simple Design, 1-Speed For Outdoor Use"
1,4.29,-35,0,appliances,0,"Teckwe Epilator,2*AAA Batteries Portability Removal Device,Cordless Epilators Hair Removal For Women,Hair Removal Cordless Electric Trimmer For Legs Arms Armpit Bikini,Product Does Not Include Batteries"
0,2.5,0,50,appliances,0,"1pc Portable Pink Electric Eyelash Curler, USB Rechargeable Eye Makeup Tool - Effortlessly Curl Your Eyelashes"
0,2.7,0,30,appliances,0,"Reusable Magic Hair Eraser, Painless Exfoliator Removal For Back, Arms, Legs, Portable Epilator Device For Women And Men, Washable Body Hair Trimmer, Efficient Bikini Line Shaver"
6,4.8,0,0,appliances,0,"Vacuum Sealer For 110V-220V, Food Protector Vacuum Sealer Machine, Automatic Food Vacuum Sealer For Food Preservation Sealing Packing System, For Fresh Food And Food Storage Lightning Deals"
0,1.49,-55,60,appliances,0,"3pcs/Set Laundry Drying Balls, 6cm Reusable Household Washing Machine Balls, Laundry Appliance Accessories"
8,3.07,-63,0,appliances,0,"1pc 900ml Manual Food Processor Garlic Vegetable Chopper, Suitable For Chopping Garlic, Ginger, Chili, Onion And Other Foods"
5,1.86,-28,0,appliances,0,"1pc White Half-Wrap Fan Dustproof Cover For Home Use, Waterproof, Moisture-Proof, Dustproof Fan Protective Cover, Easy To Put On And Take Off, Washable And Reusable, Keeping The Fan Clean"
0,24.1,0,0,appliances,0,"Ear Wax Removal Tool Camera,Ear Cleaner With Camera,Ear Wax Cleaner With Camera,7 Ear Pick,10pcs Bebird Replacement Tips,1080p Ear Camera,6 Led Lights,Earwax Removal Kit For Daily Ear Canal Cleaning"
9,0.75,-53,0,appliances,0,"1pc Blue Lint Remover, Wool Sweater Shaver, Clothes Fuzz Ball Trimmer For Home Use"
0,14.6,0,30,appliances,0,"1pc Four Layer Slide Egg Storage Box, Refrigerator Side Door Storage Box, Rolling Egg  Egg Rack Holder, Automatic Rolling Egg Box"
2,11.25,-11,0,appliances,0,"New 2 In 1 Mini Irons, Mini Travel Iron, Portable Ironing Clothes Foldable Rotating Handheld Irons, Travel Mini Irons Wrinkle Remover Ironing Machine"
0,2.15,-50,100,appliances,0,Mini Portable USB Charging Sealing Machine For Snack Plastic Bags - Easy Manual Sealing Clip With Fast Charging Benefits
0,0.74,-47,100,appliances,0,1pc Plain Egg Separator
6,8.94,-28,0,appliances,0,"6 Blades USB Portable Juicer Maker, Juicer Fruit Juice Cup Automatic Small Electric Juicer Smoothie Blender Ice CrushCup Food Processor"
0,8.55,-29,200,appliances,0,"1PC 16LED USB/Battery Dual Use Makeup Mirror Light, Desktop Mirror Surface Rotatable Makeup Mirror Light 3-Speed Touch Screen Vanity Mirror, Brightness Adjustable Cosmetic Light Up Mirror, Portable Dormitory Bedroom Desktop Vanity Mirror With Light"
0,4.7,-13,0,appliances,0,"1pc Silicone Ice Cube Trays With Lids, 2 Inches Rose Ice Cube Trays With Covers, 6 Cavity Silicone Rose Ice Ball Maker, Easy Release Large Ice Cube Form For Chilled Cocktails, Whiskey, Bourbon & Homemade Juice"
7,3.46,-48,0,appliances,0,"1pc Pink 500ml Manual Garlic Masher For Home Use, Hand-held Garlic Press For Cutting Vegetables, Suitable For Chopping Garlic, Ginger, Chili, Onion And Other Foods"
0,12.5,0,100,appliances,0,"1pc Wax Bean Heater Hair Removal Tool For Both Women & Men, Large Capacity"
0,2.6,-4,8700,appliances,0,1PC Epilator Face Hair Removal Lipstick Shaver Electric Eyebrow Trimmer Women's Painless Hair Remover Mini Shaver Epilator For Women [Dry Cell Type (Excluding Battery)]
0,4.2,-22,200,appliances,0,1pc + Rechargeable + 500mah Lithium Battery + Handheld Portable + Standable + With Hanging Rope + 3-Level Adjustable
8,9.3,0,0,appliances,0,"Electric Garlic Masher, Portable Mini Garlic Chopper, Garlic Blender, Household Electric Garlic Press, Wireless Garlic Mincer, Garlic Slicer, Portable Compact Design, Easy-To-Use Kitchen Tool,Kitchen,Kitchen Items,Food,Cooking,Camping,Meat,Poultry,Room Decor,Organizer,Party."
6,2.1,0,0,appliances,0,"1pc 4-Grid Egg Frying Pan, Kitchen Baking Mold, Flower Shaped Silicone Egg Cooking Mold"
0,1.9,0,100,appliances,0,"2-In-1 Watermelon Fork Slicer Cutter, 2024 Summer New Watermelon Slicer Cutter, Watermelon Fork Slicer, Summer Watermelon Cutting Artifact, Stainless Steel Fruit Forks Slicer Knife. Dual Head Stainless Steel Fruit Forks Slicer Knife For Family Parties Camping Party, Kitchen Gadgets, Kitchen Supplies"
10,6.12,-40,0,appliances,0,"O3 Ozone Generator Air Purifier,Refrigerator Deodorizer,Food Shelf Life Extender,Remove Smoke Pet Toilet Smell"
0,4.66,-20,100,appliances,0,1pc 4D Multifunctional Lifting And Tightening Massage Instrument For Home Use - One Tool For Total Body Beauty And Skin Care
